run_id,workflow,scenario_id,branch,env,service,status,failure_stage,commit_sha,image,tests_total,tests_failed,commit_ts,,test_ts,push_ts,deploy_ts,ended_ts,ttd_sec
18835660404,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,022d722f0c70adb75864cb6b730ab969c85c8116,,1,1,2025-10-27T09:11:37Z,,,,,,
18834063084,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,c5c7dea5a832f92a4cc3beca6ffa13bf3e188a25,,1,1,2025-10-27T08:08:25Z,,,,,,
18833997266,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,8ad4d676daecd80e8caa2c7a99d3af5efcfef824,,1,1,2025-10-27T08:05:43Z,,,,,,
18823117411,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,a074f8b64a3a12ff39162a60090d74312a69e5ea,,1,1,2025-10-26T20:10:27Z,,,,,,
18823019379,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,981b7b183a4e33aef98f221a3456a1602a52c822,,1,1,2025-10-26T20:02:24Z,,,,,,
18822878398,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,c0791cce1fa835ef2b29dcfe0b2a0c5885081c90,,1,1,2025-10-26T19:47:26Z,,,,,,
18822750726,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,1c2e63aacf9a3498b9df3ed6261bcc28e0d484fd,,1,1,2025-10-26T19:34:34Z,,,,,,
18822729883,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,84ff7f607ca5f4c71e7090c73e95aba40d2c2850,,1,1,2025-10-26T19:32:39Z,,,,,,
18822687210,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,1d710424aa70794ffdf14d76eda04a1a8edcfbf9,,1,1,2025-10-26T19:28:17Z,,,,,,
18822562050,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,ab7b24ad7f26e63cb9598efdbae2aedd2629246e,,1,1,2025-10-26T19:17:01Z,,,,,,
18822465469,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,18b6da2ef176938234360d6ad52e51d3d672add8,,1,1,2025-10-26T19:09:01Z,,,,,,
18822364116,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,2b3879bae098b2251ef4f10fc61bb615f9dfa89b,,1,1,2025-10-26T19:01:15Z,,,,,,
18822336860,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,81749f830f3307c0a100a1ad795419ab3f8f312a,,1,1,2025-10-26T18:58:33Z,,,,,,
18822300440,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,f0cf5b2304db536a95f911ea799e4a1b17af719b,,1,1,2025-10-26T18:54:04Z,,,,,,
18822213254,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,8822692cff4f9c1d7acb7d6cf566cca6e20934f9,,1,1,2025-10-26T18:46:27Z,,,,,,
18821824589,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,7027575b445bc39180d8ee0ffc5cb6376ac44cb5,,1,1,2025-10-26T18:12:43Z,,,,,,
18821756686,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,56997f836d035d5f609cd000e7190d9769cd5737,,1,1,2025-10-26T18:07:10Z,,,,,,
18819617452,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,6bd50f961f657afb37ad1df540873511e3e10788,,1,1,2025-10-26T14:58:02Z,,,,,,
18819498402,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,61786d4a1d6efcc21cf2c28004a0e3848ec5636d,,1,1,2025-10-26T14:45:40Z,,,,,,
18819362885,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,875904aa460f7404c77f86e816232c15b433202b,,1,1,2025-10-26T14:33:18Z,,,,,,
18819117790,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,5c977133b8b86fdcf090fe04cf76c549c38c95fd,,1,1,2025-10-26T14:12:31Z,,,,,,
18804807679,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,9515c306cbdf0f0f3acc5f74679a2ab5c2055dd8,,1,1,2025-10-25T15:11:52Z,,,,,,
